VENDEDOR	CLIENTE	ROTULO	Pedido de Venda	Status OP	DESCRICAO	OP	COD.CAPACIDADE	CAPACIDADE	TIPO	DATA ENTRADA	DATA PREPARACAO	DATA LITOGRAFIA	DATA MONSTAGEM	DATA ENTREGA	QUANTIDADE PEDIDO	QTDE FOLHAS	QTDE POR FOLHA	VERNIZ.INT 01	VERNIZ.INT 02	ESMALTE	REVESTIMENTO	VERNIZ.ACABAMENTO	PREPARACAO	1a.COR	2a.COR	3a.COR	4a.COR	5a.COR	6a.COR	7a.COR	8a.COR	LITOGRAFIA	FECHAMENTO	Neck IN	Qtde.OP	Qtde.Faturada	Data Faturada	Nota Fiscal	Saldo.OP	OP.Faturada	Estado.Entrega	Cidade Entrega	OBS. da OP	Fechamento	Verniz CP	Verniz TP	Verniz FD	Verniz ARG	Total.Fat	Status Pela Tolerancia
ROGERIO BARRETTO MARTINS	IMAGRAF IND. DE TINTAS GRAFICAS LTDA	140.0199.01.0	20552012	Finalizada	¼GLA- IMA SCREEN  OURO	29832012	140	¼  (A).	LATA	08/11/2012	02/01/2013	06/01/2013	07/01/2013	09/01/2013	3500	0	0	EPOXI FENOLICO		OURO PREPARADO	COM VERNIZ	ACABAMENTO COMUM		BRANCO OPACO 2ªPASS	BRANCO OPACO	PRETO	VERMELHO LINOVA						FA	NÃO	3500	1358	11/01/2013	20803	2142	29832012	SP	MAIRINQUE		AGRAFADO	VI	VZ	VZ	VZ	1358	Finalizada
CLAUDIO FRANCO DA ROCHA	SKYLACK TINTAS E VERNIZES LTDA	141.0537.02.1	20632012	Finalizada	¼GLS- SKYLUX  ESMALTE SINT. AGRO IND. SKYLACK	29882012	141	¼  (S).	LATA	08/11/2012	25/12/2012	29/12/2012	30/12/2012	01/01/2013	2520	189	14				SEM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	VERDE 355	BRANCO BRILTINTAS	VERDE SKYLACK	BRANCO BRILTINTAS 2ªPASS	VERMELHO LINOVA				FA	SIM	2520	2520	07/01/2013	20691	0	29882012	SP	SALTO	COM NECK	SOLDA	NAT	VEX	VEX	VEX	2520	Finalizada
CLAUDIO FRANCO DA ROCHA	SKYLACK TINTAS E VERNIZES LTDA	361.0537.09.0	20652012	Finalizada	3,6S- SKYDUR  ALTO SOLIDOS PRIMER SKYLACK	29922012	361	GALÃO-S.	LATA	08/11/2012	25/12/2012	29/12/2012	30/12/2012	01/01/2013	1012	266	4				SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO PREPARADO	BRANCO OPACO 2ªPASS	PRETO RETICULADO	BRANCO OPACO	PRETO	OURO PREPARADO				FA	NÃO	1012	506	02/01/2013	20558	506	29922012	SP	SALTO	com neck	SOLDA	NAT	VEX	VEX	VEX	506	Finalizada
CLAUDIO FRANCO DA ROCHA	IND. E COM. DE POLIDORES PEROLA LTDA	120.0203.01.2	20522012	Finalizada	120- PEROLA  CERA  MONZA  200G	31982012	120	Ø120 (AUTO).	LATA REPUXO	19/11/2012	01/01/2013	05/01/2013	06/01/2013	08/01/2013	22000	0	0	EPOXI FENOLICO		ESMALTE BRANCO POLIESTER	COM VERNIZ	VERNIZ ACABAMENTO POLIESTER		AMARELO EUROPA	VERMELHO PREPARADO	PRETO							TP	NÃO	22000	10350	11/01/2013	20815	11650	31982012	SP	SÃO CAETANO DO SUL		REPUXO	VI	VZ	VZ		22000	Finalizada
CLAUDIO FRANCO DA ROCHA	IND. E COM. DE POLIDORES PEROLA LTDA	120.0203.01.2	20522012	Finalizada	120- PEROLA  CERA  MONZA  200G	31982012	120	Ø120 (AUTO).	LATA REPUXO	19/11/2012	01/01/2013	05/01/2013	06/01/2013	08/01/2013																						11650	14/01/2013	20837	0		SP	SÃO CAETANO DO SUL		REPUXO	VI	VZ	VZ		22000	Finalizada
CLAUDIO FRANCO DA ROCHA	IND. E COM. DE POLIDORES PEROLA LTDA	120.0203.02.1	20532012	Finalizada	120- PEROLA  CERA  PROTETORA  AUTO  200G	32082012	120	Ø120 (AUTO).	LATA	19/11/2012	09/01/2013	13/01/2013	14/01/2013	16/01/2013	22000	0	0	EPOXI FENOLICO		ESMALTE BRANCO POLIESTER	COM VERNIZ	VERNIZ ACABAMENTO POLIESTER		AZUL EUROPA	VERMELHO LINOVA	LARANJA RILAPLAST	PRETO	MAGENTA EUROPA					TP	NÃO	22000	22050	22/01/2013	21067	-50	32082012	SP	SÃO CAETANO DO SUL		REPUXO	VI	VZ	VZ		22050	Finalizada
CLAUDIO FRANCO DA ROCHA	INTERBRILHO  HIGIENE E LIMPEZA LTDA	120.1505.03.0	22132012	Finalizada	120- CERABRILHO  3M  200G	32372012	120	Ø120 (AUTO).	LATA REPUXO	21/11/2012	29/12/2012	02/01/2013	03/01/2013	05/01/2013	21000	0	0	EPOXI FENOLICO		ESMALTE BRANCO POLIESTER	COM VERNIZ	VERNIZ ACABAMENTO POLIESTER		PRETO RETICULADO	MAGENTA BERTONCINI	AMARELO BANDEIRA	AZUL DURAMAR						TP	NÃO	21000	21000	09/01/2013	20745	0	32372012	SP	CABREUVA		REPUXO	VI	VZ	VZ		21000	Finalizada
CLAUDIO FRANCO DA ROCHA	INTERBRILHO  HIGIENE E LIMPEZA LTDA	120.1505.06.0	22132012	Finalizada	TAMPA - Ø120  CERA BRILHO 3M 200G	32382012	120	Ø120 (AUTO).	LATA REPUXO	21/11/2012	29/12/2012	02/01/2013	03/01/2013	05/01/2013	21000	0	0	EPOXI FENOLICO		ESMALTE BRANCO POLIESTER	COM VERNIZ	VERNIZ ACABAMENTO POLIESTER		AZUL DURAMAR	AMARELO BANDEIRA	PRETO RETICULADO	MAGENTA BERTONCINI						TP	NÃO	21000	21000	09/01/2013	20745	0	32382012	SP	CABREUVA		REPUXO		VZ			21000	Finalizada
CLAUDIO FRANCO DA ROCHA	INTERBRILHO  HIGIENE E LIMPEZA LTDA	142.1505.01.0	22142012	Finalizada	MEIO ¼- RODABRIL MASSA PARA POLIR Nº2  500G	32392012	142	¼ ESPECIAL.	LATA	21/11/2012	29/12/2012	02/01/2013	03/01/2013	05/01/2013	10000	0	0	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		AZUL EUROPA	MAGENTA EUROPA	AMARELO EUROPA	PRETO						FA	NÃO	10000	10080	18/01/2013	20998	-80	32392012	SP	CABREUVA			VI	VZ	VZ	VZ	10080	Finalizada
CLAUDIO FRANCO DA ROCHA	INTERBRILHO  HIGIENE E LIMPEZA LTDA	120.1505.02.0	22152012	Finalizada	120- NORCLEAN  CERA NORTON  200G	32402012	120	Ø120 (AUTO).	LATA REPUXO	21/11/2012	26/12/2012	30/12/2012	31/12/2012	02/01/2013	10000	0	0	EPOXI FENOLICO		ESMALTE BRANCO POLIESTER	COM VERNIZ	VERNIZ ACABAMENTO POLIESTER		AMARELO BANDEIRA	PRETO	AZUL EUROPA							TP	NÃO	10000	9700	10/01/2013	20764	300	32402012	SP	CABREUVA		REPUXO	VI	VZ	VZ		9700	Finalizada
CLAUDIO FRANCO DA ROCHA	INTERBRILHO  HIGIENE E LIMPEZA LTDA	120.1505.10.0	22152012	Finalizada	TAMPA - Ø120  NORCLEAN  CERA  NORTON  200G	32412012	120	Ø120 (AUTO).	LATA REPUXO	21/11/2012	26/12/2012	30/12/2012	31/12/2012	02/01/2013	10000	0	0			ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		AZUL EUROPA	AMARELO BANDEIRA	PRETO							TP	NÃO	10000	9700	10/01/2013	20764	300	32412012	SP	CABREUVA				VZ			9700	Finalizada
CLAUDIO FRANCO DA ROCHA	INTERBRILHO  HIGIENE E LIMPEZA LTDA	120.1505.05.0	22162012	Finalizada	120- SENINHA  TRADICIONAL  200G	32422012	120	Ø120 (AUTO).	LATA REPUXO	21/11/2012	26/12/2012	30/12/2012	31/12/2012	02/01/2013	31000	0	0	EPOXI FENOLICO		ESMALTE BRANCO POLIESTER	COM VERNIZ	VERNIZ ACABAMENTO POLIESTER		MAGENTA BERTONCINI	AZUL DURAMAR	PRETO	AMARELO EUROPA						TP	NÃO	31000	11205	15/01/2013	20883	19795	32422012	SP	CABREUVA		REPUXO	VI	VZ	VZ		30000	Finalizada
CLAUDIO FRANCO DA ROCHA	INTERBRILHO  HIGIENE E LIMPEZA LTDA	120.1505.05.0	22162012	Finalizada	120- SENINHA  TRADICIONAL  200G	32422012	120	Ø120 (AUTO).	LATA REPUXO	21/11/2012	26/12/2012	30/12/2012	31/12/2012	02/01/2013																						18795	16/01/2013	20956	1000		SP	CABREUVA		REPUXO	VI	VZ	VZ		30000	Finalizada
CLAUDIO FRANCO DA ROCHA	INTERBRILHO  HIGIENE E LIMPEZA LTDA	120.1505.07.0	22162012	Finalizada	TAMPA - Ø120  SENINHA TRADICIONAL 200G	32432012	120	Ø120 (AUTO).	LATA REPUXO	21/11/2012	26/12/2012	30/12/2012	31/12/2012	02/01/2013	31000	0	0	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		PRETO	AZUL DURAMAR	AMARELO EUROPA	MAGENTA BERTONCINI						TP	NÃO	31000	11205	15/01/2013	20883	19795	32432012	SP	CABREUVA				VZ			30000	Finalizada
CLAUDIO FRANCO DA ROCHA	INTERBRILHO  HIGIENE E LIMPEZA LTDA	120.1505.07.0	22162012	Finalizada	TAMPA - Ø120  SENINHA TRADICIONAL 200G	32432012	120	Ø120 (AUTO).	LATA REPUXO	21/11/2012	26/12/2012	30/12/2012	31/12/2012	02/01/2013																						18795	16/01/2013	20956	1000		SP	CABREUVA				VZ			30000	Finalizada
CLAUDIO FRANCO DA ROCHA	RECICLOS COM. DE PLAST. E BORRACHAS LTDA	100.1498.01.0	22302012	Finalizada	100- TOP RUBBER  CIMENTO VULCANIZANTE	33012012	100	1L-99,5.	LATA	22/11/2012	03/01/2013	07/01/2013	08/01/2013	10/01/2013	20000	2100	10				SEM VZ INTERNO	ACABAMENTO COMUM		LARANJA RILAPLAST	PRETO	BRANCO BRILTINTAS							Ø24	NÃO	20000	20064	07/02/2013	21494	-64	33012012	SP	SANTO ANDRE			NAT	VEX	VEX		20064	Finalizada
CLAUDIO FRANCO DA ROCHA	TEC SCREEN INDL. PROD.TEC.SERIGRAFIA LTDA	900.0294.01.0	21912012	Finalizada	900ML- TEC-SCREEN  	33072012	900	900ML-83,5.	LATA	22/11/2012	27/12/2012	31/12/2012	01/01/2013	03/01/2013	10000	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL DURAMAR	LARANJA RILAPLAST	PRETO							Ø24	NÃO	10000	10000	09/01/2013	20713	0	33072012	SP	SOROCABA			NAT	VEX	VEX		10000	Finalizada
ELENICE MARTIRE	IVAN BARBOSA SIQUEIRA  TINTAS ME	900.1540.01.0	22892012	Finalizada	900ML-  NATURAL  (SOJA)	33812012	900	900ML-83,5.	LATA	27/11/2012	03/01/2013	07/01/2013	08/01/2013	10/01/2013	540	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO									Ø24	NÃO	540	540	10/01/2013	20776	0	33812012	SP	FRANCA		SOLDA	NAT	VEX	VEX		540	Finalizada
CLAUDIO FRANCO DA ROCHA	MARCOS  VENDRASCO  EPP	100.1540.01.0	23312012	Finalizada	100   NATURAL S/VZ  1L	34452012	100	1L-99,5.	LATA	29/11/2012	17/01/2013	21/01/2013	22/01/2013	24/01/2013	2000	0	0				SEM VZ INTERNO												Ø24	NÃO	2000	2016	29/01/2013	21265	-16	34452012	SP	DIADEMA			NAT	NAT	NAT		2016	Finalizada
ROGERIO BARRETO MARTINS	TECH PAINT TINTAS INDUSTRIAIS LTDA EPP	361.0295.04.1	23572012	Finalizada	3,6S- TECH PAINT  XADREZ  INDUSTRIAL	34732012	361	GALÃO-S.	LATA	30/11/2012	26/12/2012	30/12/2012	31/12/2012	02/01/2013	2500	656	4			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		MAGENTA BERTONCINI	VERMELHO LINOVA	PRETO	AZUL EUROPA	AMARELO EUROPA					FA	SIM	2500	2500	12/12/2012	20185	0	34732012	SP	RIO CLARO	ESTE ROTULO FOI ALTERADO E JÁ FOI APROVADO PELO CLIENTE O FILME JÁ ESTÁ PRONTO. FAVOR PRESTAR ATENÇÃO.		NAT	VEX	VEX	VEX	2500	Finalizada
ROGERIO BARRETO MARTINS	VILLACOR IND. DE TINTAS LTDA ME	360.1256.01.0	23562012	Finalizada	3,6A- VILLACOR  TINTA  ACRILICA	34802012	360	GALÃO-A.	LATA	30/11/2012	14/01/2013	18/01/2013	19/01/2013	21/01/2013	1104	290	4	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		AMARELO MEDIO	PRETO	AZUL METALCOR	AZUL CYAN	MAGENTA BERTONCINI					FA	NÃO	1104	817	13/04/2013	23145	287	34802012	SP	CABREUVA		AGRAFADO	VI	VZ	VZ	VZ	817	Finalizada
DALTON	CORIARTE TINTAS LTDA	141.0353.02.0	23832012	Finalizada	¼GLS- KRAFT  LINHA  INDUSTRIAL  WERK	35242012	141	¼  (S).	LATA	03/12/2012	31/12/2012	04/01/2013	05/01/2013	07/01/2013	2500	188	14			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	AMARELO MEDIO	VERMELHO LINOVA							FA	SIM	2500				2500		SC	CHAPECO			NAT	VEX	VEX	VEX	0	Finalizada
CLAUDIO FRANCO DA ROCHA	SILIPLAST QUMICA IND. E COMERCIO LTDA	139.1525.01.0	23682012	Finalizada	139- SILIPLAST  COLA PLASTICA  PLUS AMARELA 700G	35322012	139	Ø139-MARMITA.	LATA	03/12/2012	28/12/2012	01/01/2013	02/01/2013	04/01/2013	60000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	LARANJA RILAPLAST	AMARELO BANDEIRA							TP2	NÃO	60000	21600	27/12/2012	20500	38400	35322012	RJ	NOVA IGUAÇU	Ø139mm		NAT	NAT	NAT		60480	Finalizada
CLAUDIO FRANCO DA ROCHA	SILIPLAST QUMICA IND. E COMERCIO LTDA	139.1525.01.0	23682012	Finalizada	139- SILIPLAST  COLA PLASTICA  PLUS AMARELA 700G	35322012	139	Ø139-MARMITA.	LATA	03/12/2012	28/12/2012	01/01/2013	02/01/2013	04/01/2013																						17280	07/01/2013	20678	21120		RJ	NOVA IGUAÇU	Ø139mm		NAT	NAT	NAT		60480	Finalizada
CLAUDIO FRANCO DA ROCHA	SILIPLAST QUMICA IND. E COMERCIO LTDA	139.1525.01.0	23682012	Finalizada	139- SILIPLAST  COLA PLASTICA  PLUS AMARELA 700G	35322012	139	Ø139-MARMITA.	LATA	03/12/2012	28/12/2012	01/01/2013	02/01/2013	04/01/2013																						21600	10/01/2013	20762	-480		RJ	NOVA IGUAÇU	Ø139mm		NAT	NAT	NAT		60480	Finalizada
CLAUDIO FRANCO DA ROCHA	SILIPLAST QUMICA IND. E COMERCIO LTDA	139.1525.02.0	23682012	Finalizada	139- SILIPLAST  COLA  POLIESTER  AZUL  700G	35332012	139	Ø139-MARMITA.	LATA	03/12/2012	28/12/2012	01/01/2013	02/01/2013	04/01/2013	22000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL DURAMAR	PRETO								TP2	NÃO	22000	21405	10/01/2013	20762	595	35332012	RJ	NOVA IGUAÇU			NAT	NAT	NAT		21405	Finalizada
SANDRA REGINA DA SILVA	QUALIFLEX  IND. E COM. DE TINTAS LTDA-ME	360.0187.01.0	23922012	Finalizada	3,6A- QUALIFLEX  LATEX  VINIL  ACRILICO	35452012	360	GALÃO-A.	LATA	04/12/2012	01/01/2013	05/01/2013	06/01/2013	08/01/2013	4000	1050	4	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VERNIZ	ACABAMENTO COMUM		MAGENTA EUROPA	VERMELHO LINOVA	AZUL LINOVA	AMARELO LIMÃO	LARANJA QUALIFLEX					FA	NÃO	4000	4223	11/01/2013	20798	-223	35452012	SP	GUARULHOS		AGRAFADO	VI	VZ	VZ	VZ	4223	Finalizada
ROGERIO BARRETO MARTINS	TINTAS VIP IND. E COM. LTDA	361.0569.01.0	23942012	Finalizada	3,6S- MONTECOR ESMALTE SINTETICO METAL/MADEIRA	35482012	361	GALÃO-S.	LATA	04/12/2012	21/01/2013	25/01/2013	26/01/2013	28/01/2013	2000	525	4				SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	AZUL EUROPA	BRANCO OPACO	BRANCO OPACO 2ªPASS	AMARELO BANDEIRA	PRETO				FA	NÃO	2000	856	29/01/2013	21253	1144	35482012	SP	GUARULHOS		SOLDA	NAT	VEX	VEX	VEX	856	Finalizada
ROGERIO BARRETO MARTINS	TINTAS VIP IND. E COM. LTDA	141.0569.01.0	23942012	Finalizada	¼GLS- MONTECOR ESMALTE SINTETICO METAL/MADEIRA	35492012	141	¼  (S).	LATA	04/12/2012	21/01/2013	25/01/2013	26/01/2013	28/01/2013	5000	375	14				SEM VZ INTERNO	ACABAMENTO COMUM		BRANCO BRILTINTAS 2ªPASS	AMARELO EUROPA	AZUL EUROPA	MAGENTA EUROPA	BRANCO BRILTINTAS	PRETO				FA	NÃO	5000	4896	12/02/2013	21598	104	35492012	SP	GUARULHOS			NAT	VEX	VEX	VEX	4896	Finalizada
FABIO	GOL BRASIL IND. QUÍMICA LTDA	900.0112.01.0	24302012	Finalizada	900ML- GOL  QUIMICA  SOLVENTES	36182012	900	900ML-83,5.	LATA	05/12/2012	01/01/2013	05/01/2013	06/01/2013	08/01/2013	35840	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	AZUL LINOVA	VERMELHO PREPARADO	CINZA PREPARADO						Ø24	NÃO	35840	36348	22/01/2013	21111	-508	36182012	SC	IÇARA			NAT	VEX	VEX		36348	Finalizada
CLAUDIO FRANCO DA ROCHA	RETOQUE IND.COM.MASSAS PLASTICAS SOC.LTDA ME	995.0342.05.0	24522012	Finalizada	MP1- RETOQUE  COLA  PLASTICA  BRANCA  1KG	36312012	995	MP.	LATA	06/12/2012	18/02/2013	22/02/2013	23/02/2013	25/02/2013	32000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		LARANJA RILAPLAST	AZUL LINOVA	PRETO							TP4	NÃO	32000	31216	10/04/2013	23040	784	36312012	SP	SÃO PAULO	Ø995MM		NAT	NAT	NAT		31216	Finalizada
CLAUDIO FRANCO DA ROCHA	RETOQUE IND.COM.MASSAS PLASTICAS SOC.LTDA ME	139.0342.03.0	24442012	Finalizada	139- RETOQUE NOVA  LIGHT COLA PLAS. BRANCA 500G	36322012	139	Ø139-MARMITA.	LATA	06/12/2012	21/01/2013	25/01/2013	26/01/2013	28/01/2013	12000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		LARANJA RILAPLAST	AZUL LINOVA	PRETO							TP4	NÃO	12000	12015	29/01/2013	21272	-15	36322012	SP	SÃO PAULO			NAT	NAT	NAT		12015	Finalizada
CLAUDIO FRANCO DA ROCHA	RETOQUE IND.COM.MASSAS PLASTICAS SOC.LTDA ME	995.0342.05.0	24462012	Finalizada	MP1- RETOQUE  COLA  PLASTICA  BRANCA  1KG	36332012	995	MP.	LATA	06/12/2012	07/01/2013	11/01/2013	12/01/2013	14/01/2013	32000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		LARANJA RILAPLAST	AZUL LINOVA	PRETO							TP4	NÃO	32000	32148	29/01/2013	21256	-148	36332012	SP	SÃO PAULO			NAT	NAT	NAT		32148	Finalizada
CLAUDIO FRANCO DA ROCHA	RETOQUE IND.COM.MASSAS PLASTICAS SOC.LTDA ME	995.0342.05.0	24472012	Finalizada	MP1- RETOQUE  COLA  PLASTICA  BRANCA  1KG	36342012	995	MP.	LATA	06/12/2012	21/01/2013	25/01/2013	26/01/2013	28/01/2013	32000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		LARANJA RILAPLAST	AZUL LINOVA	PRETO							TP4	NÃO	32000	33330	14/02/2013	100	-1330	36342012	SP	SÃO PAULO			NAT	NAT	NAT		33330	Finalizada
CLAUDIO FRANCO DA ROCHA	RETOQUE IND.COM.MASSAS PLASTICAS SOC.LTDA ME	995.0342.01.0	24452012	Finalizada	MP400- RETOQUE  COLA  PLASTICA  CINZA  400G	36352012	995	MP.	LATA	06/12/2012	07/01/2013	11/01/2013	12/01/2013	14/01/2013	20000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO BANDEIRA	PRETO	LARANJA RILAPLAST							TP4	NÃO	20000	19848	23/01/2013	21134	152	36352012	SP	SÃO PAULO			NAT	VEX	VEX		19848	Finalizada
